ID     | Command line                                                                                           | Date and time    | Action(s)      | Altered
-------------------------------------------------------------------------------------------------------------------------------------------------------------
   168 | -y install --disablerepo=* /tmp/akmods.raKRO9Am/results/kmod-v4l2loopback-5.18.7-200.fc36.x86_64-0.12. | 2022-07-02 02:52 | Install        |    1   
   167 | upgrade                                                                                                | 2022-07-02 02:50 | C, E, I, U     |   47 EE
   166 | install -y pandoc texlive-beamer texlive-ec                                                            | 2022-06-30 09:56 | Install        |  319   
   165 | install tex(cmti7.pfb)                                                                                 | 2022-06-30 09:45 | Install        |   25   
   164 | -y install --disablerepo=* /tmp/akmods.IpTFghWV/results/kmod-v4l2loopback-5.18.6-200.fc36.x86_64-0.12. | 2022-06-28 18:42 | Install        |    1   
   163 | upgrade                                                                                                | 2022-06-28 18:40 | C, E, I, U     |   45 EE
   162 | install maven                                                                                          | 2022-06-28 11:12 | Install        |   33   
   161 | install bspwm                                                                                          | 2022-06-25 16:48 | Install        |    1   
   160 | install xset                                                                                           | 2022-06-25 11:50 | Install        |    1   
   159 | install picom                                                                                          | 2022-06-25 11:06 | Install        |    1   
   158 | remove picom                                                                                           | 2022-06-25 01:38 | Removed        |    1   
   157 | remove papirus-icon-theme                                                                              | 2022-06-25 01:31 | Removed        |    1   
   156 | upgrade                                                                                                | 2022-06-25 01:27 | I, U           |   84   
   155 | remove i3status                                                                                        | 2022-06-22 18:51 | Removed        |    3   
   154 | install i3status                                                                                       | 2022-06-22 18:43 | Install        |    3   
   153 | install docker-ce docker-ce-cli containerd.io docker-compose-plugin                                    | 2022-06-22 11:36 | Install        |    7  <
   152 | install awesome.x86_64                                                                                 | 2022-06-21 19:32 | Install        |    7 > 
   151 | upgrade                                                                                                | 2022-06-21 10:08 | Upgrade        |   31   
   150 | remove alacritty                                                                                       | 2022-06-21 00:41 | Removed        |    1   
   149 | install alacritty                                                                                      | 2022-06-21 00:34 | Install        |    1   
   148 | install neovim                                                                                         | 2022-06-20 22:31 | Install        |    9   
   147 | remove neovim                                                                                          | 2022-06-20 22:30 | Removed        |    9   
   146 | autoremove                                                                                             | 2022-06-18 13:34 | Removed        |    2   
   145 | -y install --disablerepo=* /tmp/akmods.jMRjGzNx/results/kmod-v4l2loopback-5.18.5-200.fc36.x86_64-0.12. | 2022-06-18 13:20 | Install        |    1   
   144 | upgrade                                                                                                | 2022-06-18 13:17 | C, E, I, U     |  155 EE
   143 | install python-i3ipc                                                                                   | 2022-06-18 09:26 | Install        |    2   
   142 | install java-latest-openjdk-devel.x86_64                                                               | 2022-06-17 18:24 | Install        |    3   
   141 | install java-1.8.0-openjdk-devel.x86_64                                                                | 2022-06-17 18:23 | Install        |   11   
   140 | remove java-1.8.0-openjdk.x86_64                                                                       | 2022-06-17 18:18 | Removed        |   10   
   139 | remove java-latest-openjdk.x86_64                                                                      | 2022-06-17 18:18 | Removed        |    2   
   138 | install redis                                                                                          | 2022-06-17 12:49 | Install        |    1   
   137 | install java-1.8.0-openjdk.x86_64                                                                      | 2022-06-17 09:56 | Install        |    2   
   136 | remove java-1.8.0-openjdk.x86_64                                                                       | 2022-06-17 09:53 | Removed        |    4   
   135 | remove java-17-openjdk.x86_64                                                                          | 2022-06-17 09:52 | Removed        |    2   
   134 | install java-latest-openjdk.x86_64                                                                     | 2022-06-17 09:50 | Install        |    2   
   133 | -y install --disablerepo=* /tmp/akmods.spY1Bfb5/results/kmod-v4l2loopback-5.17.12-300.fc36.x86_64-0.12 | 2022-06-07 06:30 | Install        |    1   
   132 | upgrade                                                                                                | 2022-06-07 06:27 | C, E, I, U     |   61 EE
   131 | install javafx                                                                                         | 2022-06-05 09:52 | Install        |    4   
   130 | -y install --disablerepo=* /tmp/akmods.JCpIYjR3/results/kmod-v4l2loopback-5.17.11-300.fc36.x86_64-0.12 | 2022-06-04 20:25 | Install        |    1   
   129 | upgrade                                                                                                | 2022-06-04 20:19 | C, E, I, U     |  371 EE
